,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Lat,Hotel Lng,Hotel Name
95,arraial do cabo,-19.55,169.2667,76.37,79,100,5.18,VU,1619446167,-19.5507345,169.2790061,Tanna Ikamir Guest House
96,diamantina,7.7029,27.9953,91.76,38,87,2.85,SS,1619446167,7.713394099999999,27.9606007,Amarula Lodge and Restaurant
97,san ignacio,18.6853,12.9164,106.72,6,2,4.31,NE,1619445976,,,
98,san cristobal,51.3813,1.3862,48.99,52,100,3.58,GB,1619446168,51.3623276,1.4443978,Bay Tree Hotel
99,salinas,20.5169,-13.0499,97.0,12,53,3.06,MR,1619446160,20.519051,-13.0621033,Bab Sahara
100,ushuaia,64.8569,-147.8028,32.0,80,75,1.22,US,1619446169,64.8311337,-147.8478188,Pike's Waterfront Lodge
101,krasnyy chikoy,54.1088,102.1648,32.72,92,95,6.1,RU,1619446170,54.1034026,102.1610416,Yermak
102,newport,34.3833,131.2,55.4,67,0,4.12,JP,1619446170,34.369381,131.182714,KULABO Taishokan
103,fort nelson,58.6881,99.1844,26.26,94,55,1.24,RU,1619446170,,,
104,isangel,36.2411,115.6672,57.52,83,98,4.19,CN,1619446171,36.2350842,115.6834617,Yingbin Hotel
105,wau,-38.0023,-57.5575,61.0,72,20,2.06,AR,1619446171,-38.0199336,-57.5263691,Hotel Las Rocas
106,bilma,-33.9258,18.4232,68.0,64,75,6.17,ZA,1619445399,-33.9596092,18.3852981,Atlanticview Cape Town Boutique Hotel
107,margate,-33.0153,27.9116,77.0,61,0,3.6,ZA,1619445908,-32.9834715,27.9510976,Blue Lagoon Hotel
108,barentsburg,70.8578,29.0864,35.6,64,75,6.69,NO,1619446171,70.857078,29.09885599999999,Berlevåg camping & Appartement AS
109,atar,55.38,91.6,36.05,98,91,2.01,RU,1619446172,55.3783754,91.608446,Bereg
110,college,41.3712,-73.414,46.4,42,20,3.6,US,1619445957,41.4161338,-73.4007034,Best Western Danbury/Bethel
111,sayansk,65.8167,87.9833,21.29,91,31,1.12,RU,1619445892,65.80129769999999,87.9712102,"ООО ""Туруханская пушнина"""
112,nagato,40.8021,-124.1637,46.0,89,33,1.95,US,1619446173,40.800933,-124.174373,Best Western Plus Humboldt Bay Inn
113,kodinsk,-30.1391,-51.2244,66.2,72,40,4.63,BR,1619446173,,,
114,shenxian,28.6585,-17.9182,73.4,60,75,3.09,ES,1619446174,28.6433261,-17.9349355,Hotel Hacienda de Abajo
